date,solar,import,export,ASHP
2021-01-01,,,,
2021-01-02,,,,
2021-01-03,,,,
2021-01-04,,,,
2021-01-05,,,,
2021-01-06,,60.0,,
2021-01-07,,63.0,,
2021-01-08,,66.0,,
2021-01-09,,63.5,,
2021-01-10,,63.5,,
2021-01-11,0.0,51.0,,
2021-01-12,1.191,44.0,,
2021-01-13,1.398,47.0,,
2021-01-14,0.75,40.0,,
2021-01-15,2.655,44.0,,28.960000000000036
2021-01-16,1.502,54.0,,30.529999999999745
2021-01-17,1.355,47.0,,23.11999999999989
2021-01-18,2.035,42.0,,25.190000000000055
2021-01-19,1.969,34.0,,18.970000000000255
2021-01-20,0.749,38.0,,16.409999999999854
2021-01-21,5.348,32.0,,15.989999999999782
2021-01-22,5.717,37.0,,25.590000000000146
2021-01-23,5.517,51.0,,35.48000000000002
2021-01-24,2.185,60.0,,30.559999999999945
2021-01-25,6.607,50.0,,38.01000000000022
2021-01-26,1.422,63.0,,37.10999999999967
2021-01-27,1.36,39.0,,18.26000000000022
2021-01-28,4.033,31.0,,15.889999999999873
2021-01-29,4.289,34.0,,15.760000000000218
2021-01-30,0.761,46.0,,25.40000000000009
2021-01-31,0.939,45.0,,27.9399999999996
2021-02-01,0.84,59.0,,31.670000000000073
2021-02-02,3.304,57.0,,31.43000000000029
2021-02-03,4.166,38.0,,21.58999999999969
2021-02-04,0.756,41.0,,24.100000000000364
2021-02-05,3.825,36.0,,21.179999999999836
2021-02-06,1.319,58.0,,30.539999999999964
2021-02-07,1.418,48.0,,33.539999999999964
2021-02-08,1.932,56.0,,38.14499999999998
2021-02-09,2.484,56.0,,38.14499999999998
2021-02-10,4.925,65.0,,45.559999999999945
2021-02-11,3.119,61.0,,42.210000000000036
2021-02-12,8.614,59.0,,42.590000000000146
2021-02-13,1.612,71.0,,47.210000000000036
2021-02-14,0.922,62.0,,41.61999999999989
2021-02-15,3.181,45.0,,30.490000000000236
2021-02-16,3.883,34.0,,19.639999999999873
2021-02-17,4.389,36.0,,19.190000000000055
2021-02-18,8.914,33.0,,18.710000000000036
2021-02-19,1.951,41.0,,20.6899999999996
2021-02-20,0.575,39.0,,16.950000000000273
2021-02-21,3.419,27.5,,14.900000000000091
2021-02-22,11.221,27.5,,14.899999999999636
2021-02-23,1.822,31.0,,17.79000000000042
2021-02-24,2.468,29.0,,14.33999999999969
2021-02-25,12.777,27.0,,13.420000000000073
2021-02-26,9.124,26.0,,17.09999999999991
2021-02-27,14.304,32.0,,17.16000000000031
2021-02-28,14.848,27.0,,16.139999999999873
2021-03-01,2.708,29.0,,16.679999999999836
2021-03-02,6.701,42.0,,28.0300000000002
2021-03-03,2.072,44.0,,28.920000000000073
2021-03-04,1.139,45.0,,25.809999999999945
2021-03-05,7.803,48.0,,25.61999999999989
2021-03-06,14.034,41.33333333333576,,25.73333333333312
2021-03-07,6.63,41.33333333332848,,25.733333333333576
2021-03-08,15.873,41.33333333333576,,25.73333333333312
2021-03-09,11.847,28.0,,19.920000000000073
2021-03-10,5.174,33.0,,18.75
2021-03-11,11.192,25.0,,13.860000000000127
2021-03-12,11.646,32.75,,18.7175000000002
2021-03-13,12.971,32.75,,18.717499999999745
2021-03-14,8.328,32.75,,18.717499999999745
2021-03-15,8.074,32.75,,18.7175000000002
2021-03-16,13.549,25.0,,15.253333333333558
2021-03-17,8.287,25.0,,15.253333333333103
2021-03-18,12.616,25.0,,15.253333333333558
2021-03-19,3.673,23.099999999998545,,12.275000000000091
2021-03-20,3.534,23.099999999998545,,12.275000000000091
2021-03-21,12.016,23.10000000000582,,12.274999999999636
2021-03-22,19.539,23.099999999998545,,12.275000000000091
2021-03-23,11.62,23.099999999998545,,12.275000000000091
2021-03-24,13.919,23.099999999998545,,12.275000000000091
2021-03-25,18.421,23.099999999998545,,12.275000000000091
2021-03-26,16.455,23.10000000000582,,12.274999999999636
2021-03-27,10.39,23.099999999998545,,12.275000000000091
2021-03-28,11.274,23.099999999998545,,12.275000000000091
2021-03-29,9.187,16.285714285717404,,8.72400000000016
2021-03-30,17.858,16.285714285710128,,8.723999999999705
2021-03-31,16.479,16.285714285717404,,8.72400000000016
2021-04-01,8.937,16.285714285710128,,8.723999999999705
2021-04-02,22.356,16.285714285717404,,8.72400000000016
2021-04-03,20.439,16.285714285710128,,8.72400000000016
2021-04-04,22.192,16.285714285717404,,8.723999999999705
2021-04-05,19.056,20.33333333333576,,8.72400000000016
2021-04-06,13.776,20.333333333328483,,8.723999999999705
2021-04-07,6.594,20.33333333333576,,8.72400000000016
2021-04-08,11.814,27.33333333333576,,16.833333333333485
2021-04-09,6.335,27.333333333328483,,16.83333333333303
2021-04-10,6.735,27.33333333333576,,16.833333333333485
2021-04-11,15.75,27.33333333333576,,14.818333333333157
2021-04-12,16.359,27.333333333328483,,14.818333333333612
2021-04-13,8.308,27.33333333333576,,14.818333333333612
2021-04-14,12.313,27.33333333333576,,14.818333333333157
2021-04-15,23.534,27.333333333328483,,14.818333333333157
2021-04-16,18.408,27.33333333333576,,14.818333333333612
2021-04-17,23.683,20.0,,9.829999999999927
2021-04-18,20.497,13.333333333335759,,4.603333333333467
2021-04-19,22.643,13.333333333328483,,4.603333333333012
2021-04-20,19.517,13.333333333335759,,4.603333333333467
2021-04-21,10.634,12.0,,2.819999999999709
2021-04-22,24.2,15.0,,5.040000000000418
2021-04-23,23.564,11.0,,3.6599999999998545
2021-04-24,23.702,9.0,,4.0
2021-04-25,24.085,8.5,,3.050000000000182
2021-04-26,23.214,8.5,,3.049999999999727
2021-04-27,7.755,13.0,,2.5400000000004184
2021-04-28,4.178,15.0,,5.149999999999636
2021-04-29,16.518,22.33333333333576,,11.443333333333612
2021-04-30,13.968,22.333333333328483,,11.443333333332703
2021-05-01,14.271,22.33333333333576,,11.443333333333612
2021-05-02,14.18,23.0,,9.670000000000073
2021-05-03,3.709,22.0,,10.579999999999927
2021-05-04,17.215,19.83333333333576,,10.20333333333383
2021-05-05,17.847,19.833333333328483,,10.203333333332921
2021-05-06,20.364,19.83333333333576,,10.203333333332921
2021-05-07,15.635,19.83333333333576,,10.20333333333383
2021-05-08,7.945,19.833333333328483,,10.20333333333383
2021-05-09,12.272,19.83333333333576,,10.203333333332921
2021-05-10,13.359,15.666666666664241,,5.673333333333176
2021-05-11,16.802,15.666666666671517,,5.673333333333176
2021-05-12,12.23,15.666666666664241,,5.673333333333176
2021-05-13,2.447,,,7.429090909090519
2021-05-14,9.943,,,7.429090909091428
2021-05-15,9.171,,,7.429090909090519
2021-05-16,7.261,,,7.429090909091428
2021-05-17,21.601,,,7.429090909090519
2021-05-18,11.494,,,7.429090909091428
2021-05-19,24.338,,,7.429090909090519
2021-05-20,7.148,,,7.429090909091428
2021-05-21,12.545,,,7.429090909090519
2021-05-22,18.724,,,7.429090909091428
2021-05-23,7.715,,,7.429090909090519
